servico,num_prestadores,provider_ids
"Limpeza da casa",42,"cec585a4-8ee9-4c45-9b23-1dd2fa5e5344,33c9df67-f90c-4a74-b34a-ae0d66629336,f39d3783-ba03-4dcf-ab03-88720c883109,d3155cb5-eac6-43bd-8524-4187bbe9f592,dcda970d-bed6-4f2c-9619-04a050bdc012,85526d42-3ff8-4824-bd80-408200c462b8,0929381e-6074-4d31-b329-3e709ed713d6,b30591c4-5bf4-451d-9794-b3885cfdfac4,31422622-cade-4d10-acd7-5c3b433efba3,fde9f880-85da-4776-9a6c-5bf8b65ee1e7,23c3a00d-b10e-48ba-a2ce-6832073a2a62,7dfd702c-6b2f-4e06-8878-6e653a3fd41e,dda7b8ae-9527-4771-be9a-1e098b9d832e,3ffca0ae-afcd-467f-b2f7-7f87025523f4,1cddfc11-d48e-4da9-904f-bfcadf94eb2c,3e75410d-0d9f-4df1-abcd-d9c652ece991,315ff952-8a57-4305-8146-270686afdb6f,097c148b-8c93-40d2-b5e7-801962e7f5bf,11e6bd37-3670-46ab-97b8-d24e2f0529a3,1234ffaa-11ce-4201-9c9e-333f2bd66d16,379ae975-6da8-47bd-8308-2ae075e71a7d,ce383c9f-9801-4e7a-8e1b-f01c6c8c04e1,7a7c81f3-4a00-4d86-9155-e2971daad0e0,ab5444e7-d424-4a43-a585-26e355fcd81d,71053124-4d8b-4a95-98f2-27a64c1a4d13,5978642f-c70c-412f-b1f2-37b465a30044,5c7bba2a-0eb2-4ae9-9692-ad95b0e9d9f4,32e92d50-c10f-4d6f-a9cb-d2783872e1d0,a8f0289d-9225-46d3-a5bc-10b0a805760c,c21f017d-bb15-4255-be85-126dc1cdf07f,600c1b04-c664-441d-8755-02ae38aa2618,51479c50-8615-4019-bd61-50f7a5e5b88b,ebfcf666-2db3-4b71-bfe6-3b7d98e4d5fd,5937bc03-cf61-4787-8d51-bfbc15ddd7dd,9bd99437-8903-4858-b280-ca2af375f4c8,def722cd-6702-4ffe-869c-39032ba82499,4a9e43f9-0c61-421d-aad7-9d7e78a0a2f6,61b158cb-88f1-417d-8528-6c7337ee78bb,4148f861-14c9-4295-a3be-fa284b52f2a6,babe2845-aeee-415c-a334-564b6a8864d1,eb8c6c57-fd69-4723-8b95-f6ad809da051,1da8d166-78f0-4fad-bfbb-dc13e3b5dd7c"
"Engomadoria com recolha",16,"30804072-01c8-442b-97b0-25c9e5369085,125bc5c1-baec-42ab-bb8d-21408b6709d7,53ef0327-2996-4279-b969-bb076ea37b84,52035040-d8d7-4c51-873f-16e8e2bd02a0,b30591c4-5bf4-451d-9794-b3885cfdfac4,c959cb8c-c120-48fb-b3da-11a03cfd33b6,7a70974b-4bad-4d14-9c60-64ec4084eab7,3c397f6a-71f3-4a9b-8c8a-9f871d6c4586,7dfd702c-6b2f-4e06-8878-6e653a3fd41e,d4ca2bd6-ca26-4373-9c7f-8e2a3d04aff7,f292017b-5b65-4a4b-bf55-dc243405dbbb,ab5444e7-d424-4a43-a585-26e355fcd81d,c74a74e2-89d4-4d71-9858-15ba6bcbd731,374a4280-3ded-41a6-8576-a944b9cdc21a,bc1f974c-8a95-4fa8-972f-179ef361fdfd,61b158cb-88f1-417d-8528-6c7337ee78bb"
"Engomadoria com recolha de camisas e calças",16,"30804072-01c8-442b-97b0-25c9e5369085,125bc5c1-baec-42ab-bb8d-21408b6709d7,53ef0327-2996-4279-b969-bb076ea37b84,b30591c4-5bf4-451d-9794-b3885cfdfac4,c959cb8c-c120-48fb-b3da-11a03cfd33b6,fde9f880-85da-4776-9a6c-5bf8b65ee1e7,7a70974b-4bad-4d14-9c60-64ec4084eab7,3c397f6a-71f3-4a9b-8c8a-9f871d6c4586,7dfd702c-6b2f-4e06-8878-6e653a3fd41e,d4ca2bd6-ca26-4373-9c7f-8e2a3d04aff7,f292017b-5b65-4a4b-bf55-dc243405dbbb,ab5444e7-d424-4a43-a585-26e355fcd81d,c74a74e2-89d4-4d71-9858-15ba6bcbd731,374a4280-3ded-41a6-8576-a944b9cdc21a,bc1f974c-8a95-4fa8-972f-179ef361fdfd,61b158cb-88f1-417d-8528-6c7337ee78bb"
"Limpeza profunda",14,"dcda970d-bed6-4f2c-9619-04a050bdc012,85526d42-3ff8-4824-bd80-408200c462b8,b30591c4-5bf4-451d-9794-b3885cfdfac4,fde9f880-85da-4776-9a6c-5bf8b65ee1e7,3ffca0ae-afcd-467f-b2f7-7f87025523f4,3e75410d-0d9f-4df1-abcd-d9c652ece991,097c148b-8c93-40d2-b5e7-801962e7f5bf,11e6bd37-3670-46ab-97b8-d24e2f0529a3,ce383c9f-9801-4e7a-8e1b-f01c6c8c04e1,7a7c81f3-4a00-4d86-9155-e2971daad0e0,ab5444e7-d424-4a43-a585-26e355fcd81d,5c7bba2a-0eb2-4ae9-9692-ad95b0e9d9f4,c21f017d-bb15-4255-be85-126dc1cdf07f,51479c50-8615-4019-bd61-50f7a5e5b88b"
"Engomadoria com recolha de lençóis e toalhas",14,"30804072-01c8-442b-97b0-25c9e5369085,125bc5c1-baec-42ab-bb8d-21408b6709d7,53ef0327-2996-4279-b969-bb076ea37b84,b30591c4-5bf4-451d-9794-b3885cfdfac4,c959cb8c-c120-48fb-b3da-11a03cfd33b6,fde9f880-85da-4776-9a6c-5bf8b65ee1e7,7a70974b-4bad-4d14-9c60-64ec4084eab7,3c397f6a-71f3-4a9b-8c8a-9f871d6c4586,7dfd702c-6b2f-4e06-8878-6e653a3fd41e,d4ca2bd6-ca26-4373-9c7f-8e2a3d04aff7,f292017b-5b65-4a4b-bf55-dc243405dbbb,ab5444e7-d424-4a43-a585-26e355fcd81d,c74a74e2-89d4-4d71-9858-15ba6bcbd731,374a4280-3ded-41a6-8576-a944b9cdc21a"
"Instalação de eletrodomésticos",13,"3d0e5048-ea14-44d7-9ac8-92f13f12868c,1f20716f-1623-4abd-addd-44fe4a3ac8b0,18206459-6c16-43c9-9477-1eef5dab942f,ab8ce358-f2c7-4492-8eb4-29c7c5c964aa,f96d3dfb-656f-41d0-bc2f-1149696be617,9ea200a3-dc0c-4673-b365-6d8916ad9228,c756cdc4-f736-4358-8661-573540ad8d8f,fc5ad396-df48-4f72-ab2f-32399f541b1b,2c1553a3-06bd-4a90-8258-d5ed3cf2411b,c10fe6fe-9c58-43bf-bdf5-3c03dd50e074,fc16969e-db51-4063-8e1a-f6eec960718e,2467baae-2658-4141-9af4-8ba02d5a97c7,548c434f-b634-4d80-bef0-53fb82d36527"
"Instalação de candeeiros",13,"3d0e5048-ea14-44d7-9ac8-92f13f12868c,e55514dc-477f-437f-9b60-4b0735bcd1a5,1f20716f-1623-4abd-addd-44fe4a3ac8b0,18206459-6c16-43c9-9477-1eef5dab942f,ab8ce358-f2c7-4492-8eb4-29c7c5c964aa,c1070caa-c82c-4ed9-9764-6a0c4c5df060,de1809ac-af20-4fea-a510-2b9aaa63d982,c5968ee2-ac65-4806-a5fd-78dbfbe8e848,9e85cc60-323b-4797-b005-902f7b77dcfa,c10fe6fe-9c58-43bf-bdf5-3c03dd50e074,2467baae-2658-4141-9af4-8ba02d5a97c7,33db3fa1-8b9a-4ddd-a174-3bb9ee3bf564,548c434f-b634-4d80-bef0-53fb82d36527"
"Lavandaria e engomadoria com recolha",13,"30804072-01c8-442b-97b0-25c9e5369085,53ef0327-2996-4279-b969-bb076ea37b84,52035040-d8d7-4c51-873f-16e8e2bd02a0,b30591c4-5bf4-451d-9794-b3885cfdfac4,7a70974b-4bad-4d14-9c60-64ec4084eab7,3c397f6a-71f3-4a9b-8c8a-9f871d6c4586,d4ca2bd6-ca26-4373-9c7f-8e2a3d04aff7,f292017b-5b65-4a4b-bf55-dc243405dbbb,ab5444e7-d424-4a43-a585-26e355fcd81d,c74a74e2-89d4-4d71-9858-15ba6bcbd731,374a4280-3ded-41a6-8576-a944b9cdc21a,bc1f974c-8a95-4fa8-972f-179ef361fdfd,61b158cb-88f1-417d-8528-6c7337ee78bb"
"Lavandaria com recolha",13,"30804072-01c8-442b-97b0-25c9e5369085,53ef0327-2996-4279-b969-bb076ea37b84,52035040-d8d7-4c51-873f-16e8e2bd02a0,b30591c4-5bf4-451d-9794-b3885cfdfac4,7a70974b-4bad-4d14-9c60-64ec4084eab7,3c397f6a-71f3-4a9b-8c8a-9f871d6c4586,d4ca2bd6-ca26-4373-9c7f-8e2a3d04aff7,f292017b-5b65-4a4b-bf55-dc243405dbbb,ab5444e7-d424-4a43-a585-26e355fcd81d,c74a74e2-89d4-4d71-9858-15ba6bcbd731,374a4280-3ded-41a6-8576-a944b9cdc21a,bc1f974c-8a95-4fa8-972f-179ef361fdfd,61b158cb-88f1-417d-8528-6c7337ee78bb"
"Instalação de interruptores e tomadas",12,"3d0e5048-ea14-44d7-9ac8-92f13f12868c,e55514dc-477f-437f-9b60-4b0735bcd1a5,1f20716f-1623-4abd-addd-44fe4a3ac8b0,18206459-6c16-43c9-9477-1eef5dab942f,ab8ce358-f2c7-4492-8eb4-29c7c5c964aa,c1070caa-c82c-4ed9-9764-6a0c4c5df060,de1809ac-af20-4fea-a510-2b9aaa63d982,c5968ee2-ac65-4806-a5fd-78dbfbe8e848,9e85cc60-323b-4797-b005-902f7b77dcfa,c10fe6fe-9c58-43bf-bdf5-3c03dd50e074,2467baae-2658-4141-9af4-8ba02d5a97c7,548c434f-b634-4d80-bef0-53fb82d36527"
"Reparação de eletrodomésticos",12,"e55514dc-477f-437f-9b60-4b0735bcd1a5,a342aa7e-8af9-44c1-b305-d7a9d8cf3659,33a99d5f-7eba-43a7-92a4-bffb12cb3c23,19a42c4d-9499-4604-912f-4f34b8f77a84,94f43a8e-7c91-4a4a-ba93-78d99856c202,f48912fd-acbb-4c4e-8962-66266513e6e0,9ea200a3-dc0c-4673-b365-6d8916ad9228,c756cdc4-f736-4358-8661-573540ad8d8f,6cef873a-24ea-417b-a928-64ffa1aa30ae,fc5ad396-df48-4f72-ab2f-32399f541b1b,2c1553a3-06bd-4a90-8258-d5ed3cf2411b,fc16969e-db51-4063-8e1a-f6eec960718e"
"Reparação de máquina de lavar roupa",12,"e55514dc-477f-437f-9b60-4b0735bcd1a5,a342aa7e-8af9-44c1-b305-d7a9d8cf3659,33a99d5f-7eba-43a7-92a4-bffb12cb3c23,19a42c4d-9499-4604-912f-4f34b8f77a84,94f43a8e-7c91-4a4a-ba93-78d99856c202,f48912fd-acbb-4c4e-8962-66266513e6e0,9ea200a3-dc0c-4673-b365-6d8916ad9228,c756cdc4-f736-4358-8661-573540ad8d8f,6cef873a-24ea-417b-a928-64ffa1aa30ae,fc5ad396-df48-4f72-ab2f-32399f541b1b,2c1553a3-06bd-4a90-8258-d5ed3cf2411b,fc16969e-db51-4063-8e1a-f6eec960718e"
"Reparação de máquina de lavar loiça",12,"e55514dc-477f-437f-9b60-4b0735bcd1a5,a342aa7e-8af9-44c1-b305-d7a9d8cf3659,33a99d5f-7eba-43a7-92a4-bffb12cb3c23,19a42c4d-9499-4604-912f-4f34b8f77a84,94f43a8e-7c91-4a4a-ba93-78d99856c202,f48912fd-acbb-4c4e-8962-66266513e6e0,9ea200a3-dc0c-4673-b365-6d8916ad9228,c756cdc4-f736-4358-8661-573540ad8d8f,6cef873a-24ea-417b-a928-64ffa1aa30ae,fc5ad396-df48-4f72-ab2f-32399f541b1b,2c1553a3-06bd-4a90-8258-d5ed3cf2411b,fc16969e-db51-4063-8e1a-f6eec960718e"
"Limpeza de humidade",11,"cec585a4-8ee9-4c45-9b23-1dd2fa5e5344,85526d42-3ff8-4824-bd80-408200c462b8,1cddfc11-d48e-4da9-904f-bfcadf94eb2c,3e75410d-0d9f-4df1-abcd-d9c652ece991,097c148b-8c93-40d2-b5e7-801962e7f5bf,11e6bd37-3670-46ab-97b8-d24e2f0529a3,1234ffaa-11ce-4201-9c9e-333f2bd66d16,ce383c9f-9801-4e7a-8e1b-f01c6c8c04e1,7a7c81f3-4a00-4d86-9155-e2971daad0e0,ab5444e7-d424-4a43-a585-26e355fcd81d,5c7bba2a-0eb2-4ae9-9692-ad95b0e9d9f4"
"Limpeza da casa com engomadoria",11,"0929381e-6074-4d31-b329-3e709ed713d6,b30591c4-5bf4-451d-9794-b3885cfdfac4,fde9f880-85da-4776-9a6c-5bf8b65ee1e7,23c3a00d-b10e-48ba-a2ce-6832073a2a62,3ffca0ae-afcd-467f-b2f7-7f87025523f4,3e75410d-0d9f-4df1-abcd-d9c652ece991,11e6bd37-3670-46ab-97b8-d24e2f0529a3,7a7c81f3-4a00-4d86-9155-e2971daad0e0,ab5444e7-d424-4a43-a585-26e355fcd81d,5c7bba2a-0eb2-4ae9-9692-ad95b0e9d9f4,4148f861-14c9-4295-a3be-fa284b52f2a6"
"Substituição de torneiras",10,"3d0e5048-ea14-44d7-9ac8-92f13f12868c,e55514dc-477f-437f-9b60-4b0735bcd1a5,45a2ab6f-d683-4062-a552-77cc520d097c,1f20716f-1623-4abd-addd-44fe4a3ac8b0,18206459-6c16-43c9-9477-1eef5dab942f,f96d3dfb-656f-41d0-bc2f-1149696be617,de1809ac-af20-4fea-a510-2b9aaa63d982,c10fe6fe-9c58-43bf-bdf5-3c03dd50e074,2467baae-2658-4141-9af4-8ba02d5a97c7,548c434f-b634-4d80-bef0-53fb82d36527"
"Limpeza de vidros e janelas",10,"85526d42-3ff8-4824-bd80-408200c462b8,31422622-cade-4d10-acd7-5c3b433efba3,1cddfc11-d48e-4da9-904f-bfcadf94eb2c,097c148b-8c93-40d2-b5e7-801962e7f5bf,11e6bd37-3670-46ab-97b8-d24e2f0529a3,ce383c9f-9801-4e7a-8e1b-f01c6c8c04e1,7a7c81f3-4a00-4d86-9155-e2971daad0e0,ab5444e7-d424-4a43-a585-26e355fcd81d,5c7bba2a-0eb2-4ae9-9692-ad95b0e9d9f4,61b158cb-88f1-417d-8528-6c7337ee78bb"
"Engomadoria em casa",10,"0929381e-6074-4d31-b329-3e709ed713d6,b30591c4-5bf4-451d-9794-b3885cfdfac4,fde9f880-85da-4776-9a6c-5bf8b65ee1e7,23c3a00d-b10e-48ba-a2ce-6832073a2a62,3e75410d-0d9f-4df1-abcd-d9c652ece991,11e6bd37-3670-46ab-97b8-d24e2f0529a3,7a7c81f3-4a00-4d86-9155-e2971daad0e0,ab5444e7-d424-4a43-a585-26e355fcd81d,5c7bba2a-0eb2-4ae9-9692-ad95b0e9d9f4,4148f861-14c9-4295-a3be-fa284b52f2a6"
"Aplicação de juntas de silicone",9,"3d0e5048-ea14-44d7-9ac8-92f13f12868c,e55514dc-477f-437f-9b60-4b0735bcd1a5,45a2ab6f-d683-4062-a552-77cc520d097c,18206459-6c16-43c9-9477-1eef5dab942f,f96d3dfb-656f-41d0-bc2f-1149696be617,de1809ac-af20-4fea-a510-2b9aaa63d982,c10fe6fe-9c58-43bf-bdf5-3c03dd50e074,2467baae-2658-4141-9af4-8ba02d5a97c7,548c434f-b634-4d80-bef0-53fb82d36527"
"Reparação de autoclismo",9,"3d0e5048-ea14-44d7-9ac8-92f13f12868c,e55514dc-477f-437f-9b60-4b0735bcd1a5,45a2ab6f-d683-4062-a552-77cc520d097c,18206459-6c16-43c9-9477-1eef5dab942f,f96d3dfb-656f-41d0-bc2f-1149696be617,de1809ac-af20-4fea-a510-2b9aaa63d982,c10fe6fe-9c58-43bf-bdf5-3c03dd50e074,2467baae-2658-4141-9af4-8ba02d5a97c7,548c434f-b634-4d80-bef0-53fb82d36527"
"Canalizador",9,"3d0e5048-ea14-44d7-9ac8-92f13f12868c,45a2ab6f-d683-4062-a552-77cc520d097c,1f20716f-1623-4abd-addd-44fe4a3ac8b0,18206459-6c16-43c9-9477-1eef5dab942f,f96d3dfb-656f-41d0-bc2f-1149696be617,de1809ac-af20-4fea-a510-2b9aaa63d982,c10fe6fe-9c58-43bf-bdf5-3c03dd50e074,2467baae-2658-4141-9af4-8ba02d5a97c7,548c434f-b634-4d80-bef0-53fb82d36527"
"Handyman - Faz tudo em casa",9,"3d0e5048-ea14-44d7-9ac8-92f13f12868c,45a2ab6f-d683-4062-a552-77cc520d097c,18206459-6c16-43c9-9477-1eef5dab942f,f96d3dfb-656f-41d0-bc2f-1149696be617,de1809ac-af20-4fea-a510-2b9aaa63d982,2c1553a3-06bd-4a90-8258-d5ed3cf2411b,c10fe6fe-9c58-43bf-bdf5-3c03dd50e074,2467baae-2658-4141-9af4-8ba02d5a97c7,548c434f-b634-4d80-bef0-53fb82d36527"
